iter	RMSE
355	1.033525478
356	1.033487822
357	1.033445474
358	1.03341464
359	1.033372115
360	1.033335818
361	1.033299381
362	1.033262276
363	1.033227901
364	1.033188869
365	1.033153091
366	1.033122563
367	1.033084227
368	1.033048306
369	1.033012488
370	1.032974463
371	1.032936962
372	1.032875578
373	1.032837793
374	1.032803334
375	1.032766071
376	1.032734376
377	1.032693574
378	1.032657779
379	1.032622228
380	1.032581807
381	1.032543311
382	1.032506635
383	1.032467015
384	1.032430826
385	1.032395618
386	1.032332485
387	1.032301828
388	1.032268752
389	1.03224002
390	1.032206136
391	1.032155502
392	1.032118251
393	1.032083242
394	1.032045428
395	1.032025662
396	1.03198322
397	1.031953534
398	1.031918695
399	1.031879508
400	1.031842563
401	1.031803688
402	1.03176611
403	1.031723622
404	1.031663708
405	1.031626474
406	1.031589345
407	1.031559192
408	1.03152753
409	1.031490643
410	1.031461714
411	1.031421738
412	1.031386495
413	1.031343921
414	1.031298049
415	1.031261153
416	1.031225624
417	1.031192303
418	1.031150002
419	1.031114294
420	1.031074164
421	1.031031578
422	1.030988638
423	1.030949241
424	1.030918648
425	1.030887387
426	1.030855143
427	1.030816512
428	1.030778266
429	1.03074451
430	1.030706296
431	1.030667309
432	1.030630145
433	1.030610422
434	1.030581082
435	1.030546091
436	1.030518469
437	1.030494673
438	1.030463259
439	1.030427
440	1.030391864
441	1.03035641
442	1.030313127
443	1.030277214
444	1.030249129
445	1.030212652
446	1.03016385
447	1.030126211
448	1.030088677
449	1.030053353
450	1.030018309
451	1.029980771
452	1.029948323
453	1.02990583
454	1.029872396
455	1.029842158
456	1.029803454
457	1.029767137
458	1.029722915
459	1.029687544
460	1.029649502
461	1.029615673
462	1.029585849
463	1.029549383
464	1.029510668
465	1.029476168
466	1.029444372
467	1.02940748
468	1.029366862
469	1.029330635
470	1.029289839
471	1.02925389
472	1.02922272
473	1.029191302
474	1.029155175
475	1.02911764
476	1.029083232
477	1.02904956
478	1.029012057
479	1.028979578
480	1.028939963
481	1.028896023
482	1.02885433
483	1.028819069
484	1.028781558
485	1.028740247
486	1.028703154
487	1.028668486
488	1.028634485
489	1.028598478
490	1.028573793
491	1.028533424
492	1.028507155
493	1.028472691
494	1.02843485
495	1.028399012
496	1.028368027
497	1.028335247
498	1.028297612
499	1.028265498
500	1.028234438
501	1.028198593
502	1.028165104
503	1.028129503
504	1.028094921
505	1.028052633
506	1.028018752
507	1.027990148
508	1.027955702
509	1.027898102
510	1.027882408
511	1.027847748
512	1.027814071
513	1.027772018
514	1.027733553
515	1.027698324
516	1.027660243
517	1.027623745
518	1.027587245
519	1.027552786
520	1.027510441
521	1.027470029
522	1.027434721
523	1.027399905
524	1.027361707
525	1.027325762
526	1.027289322
527	1.027254993
528	1.027213551
529	1.027180875
530	1.027148374
531	1.027111646
532	1.027073403
533	1.027036707
534	1.027000257
535	1.026963137
536	1.026929537
537	1.026891111
538	1.026856346
539	1.026814078
540	1.026780649
541	1.026747431
542	1.026706919
543	1.02667627
544	1.026642344
545	1.026608064
546	1.026581323
547	1.026546231
548	1.02651526
549	1.026482985
550	1.026449122
551	1.026423751
552	1.026391755
553	1.026355634
554	1.026320253
555	1.026285892
556	1.026250331
557	1.026214664
558	1.02617755
559	1.026147026
560	1.026115198
561	1.026078151
562	1.026040609
563	1.02600846
564	1.025973912
565	1.025936367
566	1.025899419
567	1.025868958
568	1.025832924
569	1.025798406
570	1.025766531
571	1.025733315
572	1.025700451
573	1.025661626
574	1.025626467
575	1.025591236
576	1.025558579
577	1.025522006
578	1.025486349
579	1.025452665
580	1.025414395
581	1.025379651
582	1.025342049
583	1.025304233
584	1.025272025
585	1.025235865
586	1.025200339
587	1.025147876
588	1.025112523
589	1.025077628
590	1.025039097
591	1.025000353
592	1.024963442
593	1.024926424
594	1.024890782
595	1.024861066
596	1.024824398
597	1.024789563
598	1.024756351
599	1.02472042
600	1.02469017
601	1.024654272
602	1.024619149
603	1.024581378
604	1.024556561
605	1.024527224
606	1.024491885
607	1.024460323
608	1.024423993
609	1.024392958
610	1.024354683
611	1.024314218
612	1.02427633
613	1.024241264
614	1.024204326
615	1.024169965
616	1.024133201
617	1.024106325
618	1.024067333
619	1.024031943
620	1.023998035
621	1.023964797
622	1.023937281
623	1.023903193
624	1.023861545
625	1.02383134
626	1.023800853
627	1.023769834
628	1.023738355
629	1.023707299
630	1.023676843
631	1.023646881
632	1.023608119
633	1.023574127
634	1.023535009
635	1.023498964
636	1.023465074
637	1.023426801
638	1.02338948
639	1.023359156
640	1.023324059
641	1.023284967
642	1.023251176
643	1.023217914
644	1.023181115
645	1.023138023
646	1.023102354
647	1.023064809
648	1.023031717
649	1.022997812
650	1.022967723
651	1.022935937
652	1.022900861
653	1.022877524
654	1.022844285
655	1.022813131
656	1.022784487
657	1.022752377
658	1.022717825
659	1.022685572
660	1.022652715
661	1.022611582
662	1.022586045
663	1.022557784
664	1.022524994
665	1.022488525
666	1.022450816
667	1.022414627
668	1.022375465
669	1.022344828
670	1.02230821
671	1.02227605
672	1.022246117
673	1.022194529
674	1.022155465
675	1.022115691
676	1.02207627
677	1.022042156
678	1.021999936
679	1.021972366
680	1.021938355
681	1.02190282
682	1.021866151
683	1.021828349
684	1.021792562
685	1.021757554
686	1.021723747
687	1.021689019
688	1.02165737
689	1.021627844
690	1.021599203
691	1.021562558
692	1.021525205
693	1.021489266
694	1.021454601
695	1.02141565
696	1.021382895
697	1.021350599
698	1.021314335
699	1.021284304
700	1.021251402
701	1.021216977
702	1.021178832
703	1.021149398
704	1.021113305
705	1.021080079
706	1.02104997
707	1.021019683
708	1.020984399
709	1.020944899
710	1.020913864
711	1.020874255
712	1.020837798
713	1.020806902
714	1.020768457
715	1.020732563
716	1.020695711
717	1.020663039
718	1.020631393
719	1.020596486
720	1.020561968
721	1.020533899
722	1.020498244
723	1.020458123
724	1.02042523
725	1.020390139
726	1.020356819
727	1.020318819
728	1.020284894
729	1.020252917
730	1.020225265
731	1.02019077
732	1.020159429
733	1.020130108
734	1.020100112
735	1.020067137
736	1.020040757
737	1.02001207
738	1.019974696
739	1.019955582
740	1.01992051
741	1.019886076
742	1.019850859
743	1.019821104
744	1.019780424
745	1.019749212
746	1.019714026
747	1.019679727
748	1.019645461
749	1.019610946
750	1.01958207
751	1.019544644
752	1.019514915
753	1.019485611
754	1.019458293
755	1.019422424
756	1.019391378
757	1.019355968
758	1.019323714
759	1.019287627
760	1.019254341
761	1.019220736
762	1.019186278
763	1.019149724
764	1.019116896
765	1.019080092
766	1.019044777
767	1.019007508
768	1.018974818
769	1.01893886
770	1.01891032
771	1.018877307
772	1.018837512
773	1.018802082
774	1.018768178
775	1.018737893
776	1.018705229
777	1.01866802
778	1.018638372
779	1.018596366
780	1.018560643
781	1.018530992
782	1.01851416
783	1.018478648
784	1.018443951
785	1.018412379
786	1.018378603
787	1.018346461
788	1.018309025
789	1.018272795
790	1.018240471
791	1.018206157
792	1.018169533
793	1.018141114
794	1.018105695
795	1.01807056
796	1.018039118
797	1.018001635
798	1.017969303
799	1.017939137
800	1.017906021
801	1.017874681
802	1.017838471
803	1.017803824
804	1.017776603
805	1.01774405
806	1.017710146
807	1.017670909
808	1.017638424
809	1.017601638
810	1.017567942
811	1.017539933
812	1.017507159
813	1.01747666
814	1.017446764
815	1.017418928
816	1.017389813
817	1.017363043
818	1.017332077
819	1.017302034
820	1.017269289
821	1.017231955
822	1.017195083
823	1.017163258
824	1.017131362
825	1.017101384
826	1.017072651
827	1.017037515
828	1.017004121
829	1.016962581
830	1.016925201
831	1.016890487
832	1.016861854
833	1.016832509
834	1.016801206
835	1.016763963
836	1.016733049
837	1.01669993
838	1.016667841
839	1.016635217
840	1.016605118
841	1.016568259
842	1.016521897
843	1.016485568
844	1.016455181
845	1.016417924
846	1.016386182
847	1.016352233
848	1.016318922
849	1.016280415
850	1.01624091
851	1.016201795
852	1.016169904
853	1.01613705
854	1.016105371
855	1.016074402
856	1.016040229
857	1.01600819
858	1.015973979
859	1.015932397
860	1.015899002
861	1.01586443
862	1.015832208
863	1.01580205
864	1.015768045
865	1.015720473
866	1.01569081
867	1.015654202
868	1.015615954
869	1.015581445
870	1.015554235
871	1.015521255
872	1.015486671
873	1.015454188
874	1.015421775
875	1.015389146
876	1.015360649
877	1.015336889
878	1.015305363
879	1.01527754
880	1.015247508
881	1.01521687
882	1.015179639
883	1.015145578
884	1.015117074
885	1.015089994
886	1.015060527
887	1.015027174
888	1.014993037
889	1.014961785
890	1.014927431
891	1.014891972
892	1.0148553
893	1.014818911
894	1.014785123
895	1.014760423
896	1.014727738
897	1.01469416
898	1.014661651
899	1.014632171
900	1.014596559
901	1.014563976
902	1.014531356
903	1.014500945
904	1.014470747
905	1.014439229
906	1.014411348
907	1.014377189
908	1.014346061
909	1.014313897
910	1.014282731
911	1.014252242
912	1.014223356
913	1.014188443
914	1.01415952
915	1.014123962
916	1.014088367
917	1.014055019
918	1.014019101
919	1.013986534
920	1.013947511
921	1.013917511
922	1.01388594
923	1.013854654
924	1.013820263
925	1.013784586
926	1.013755973
927	1.013721328
928	1.013683079
929	1.013645792
930	1.013610681
931	1.013572891
932	1.01354313
933	1.013509335
934	1.013469329
935	1.013431713
936	1.013399663
937	1.013367398
938	1.013330385
939	1.013298975
940	1.013255427
941	1.013227048
942	1.013198704
943	1.01316604
944	1.01313109
945	1.013099495
946	1.013070077
947	1.013037016
948	1.013004347
949	1.012973426
950	1.012941255
951	1.012900905
952	1.012865589
953	1.01283595
954	1.012802274
955	1.01277324
956	1.012741884
957	1.012706383
958	1.012674311
959	1.012639201
960	1.012612234
961	1.012585695
962	1.012552296
963	1.012517754
964	1.012487426
965	1.012457382
966	1.012425123
967	1.012391255
968	1.012348168
969	1.01231905
970	1.012284964
971	1.012253306
972	1.012220219
973	1.0121842
974	1.012150503
975	1.012118126
976	1.012083069
977	1.012048618
978	1.012018132
979	1.011984179
980	1.011953335
981	1.011919665
982	1.011891178
983	1.011861367
984	1.01182891
985	1.01179781
986	1.011762634
987	1.011727565
988	1.011696891
989	1.011665573
990	1.011631357
991	1.011602612
992	1.011572506
993	1.011539289
994	1.011505284
995	1.011475319
996	1.011438809
997	1.011405766
998	1.011376048
999	1.011343254
